♻️ Reload Clairvoyant!
scan document: file:///home/lizon/example-app/app/Services/ParserService.php
scan document: file:///home/lizon/example-app/app/Services/ParserService.php
scan document: file:///home/lizon/example-app/app/Services/ParserService.php
scan document: file:///home/lizon/example-app/config/lfm.php
scan document: file:///home/lizon/example-app/config/lfm.php
scan document: file:///home/lizon/example-app/config/lfm.php
scan document: file:///home/lizon/example-app/config/lfm.php
scan document: file:///home/lizon/example-app/config/lfm.php
scan document: file:///home/lizon/example-app/config/lfm.php
scan document: file:///home/lizon/example-app/config/lfm.php
scan document: file:///home/lizon/example-app/config/lfm.php
scan document: file:///home/lizon/example-app/config/lfm.php
scan document: file:///home/lizon/example-app/config/lfm.php
scan document: file:///home/lizon/example-app/config/lfm.php
scan document: file:///home/lizon/example-app/config/lfm.php
scan document: file:///home/lizon/example-app/config/lfm.php
scan document: file:///home/lizon/example-app/config/lfm.php
scan document: file:///home/lizon/example-app/config/lfm.php
scan document: file:///home/lizon/example-app/config/lfm.php
scan document: file:///home/lizon/example-app/config/lfm.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/Admin/ParserController.php
scan document: file:///home/lizon/example-app/routes/web.php
scan document: file:///home/lizon/example-app/routes/web.php
scan document: file:///home/lizon/example-app/routes/web.php
scan document: file:///home/lizon/example-app/routes/web.php
scan document: file:///home/lizon/example-app/routes/web.php
scan document: file:///home/lizon/example-app/routes/web.php
scan document: file:///home/lizon/example-app/routes/web.php
scan document: file:///home/lizon/example-app/routes/web.php
scan document: file:///home/lizon/example-app/config/filesystems.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/ResourcesController.php
detach document: file:///home/lizon/example-app/app/Http/Controllers/ResourcesController.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/Admin/ResourcesController.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/NewsController.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/Admin/ResourcesController.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/Admin/ResourcesController.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/Admin/ResourcesController.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/Admin/ResourcesController.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/Admin/ResourcesController.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/Admin/ResourcesController.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/Admin/ResourcesController.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/Admin/ResourcesController.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/Admin/ResourcesController.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/Admin/ResourcesController.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/Admin/ResourcesController.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/Admin/ResourcesController.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/Admin/ResourcesController.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/Admin/ResourcesController.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/Admin/ResourcesController.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/Admin/ResourcesController.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/index.blade.php
scan document: file:///home/lizon/example-app/resources/views/news/data.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/Admin/ResourcesController.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/Admin/ResourcesController.php
scan document: file:///home/lizon/example-app/routes/web.php
scan document: file:///home/lizon/example-app/routes/web.php
scan document: file:///home/lizon/example-app/routes/web.php
scan document: file:///home/lizon/example-app/routes/web.php
scan document: file:///home/lizon/example-app/routes/web.php
scan document: file:///home/lizon/example-app/routes/web.php
scan document: file:///home/lizon/example-app/routes/web.php
scan document: file:///home/lizon/example-app/routes/web.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/Admin/NewsController.php
scan document: file:///home/lizon/example-app/routes/web.php
scan document: file:///home/lizon/example-app/routes/web.php
scan document: file:///home/lizon/example-app/routes/web.php
scan document: file:///home/lizon/example-app/routes/web.php
scan document: file:///home/lizon/example-app/routes/web.php
scan document: file:///home/lizon/example-app/routes/web.php
scan document: file:///home/lizon/example-app/routes/web.php
scan document: file:///home/lizon/example-app/routes/web.php
scan document: file:///home/lizon/example-app/routes/web.php
scan document: file:///home/lizon/example-app/routes/web.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/Admin/ResourcesController.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/Admin/ResourcesController.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/Admin/ResourcesController.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/Admin/ResourcesController.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/Admin/ResourcesController.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/Admin/ResourcesController.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/Admin/ResourcesController.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/Admin/ResourcesController.php
scan document: file:///home/lizon/example-app/app/Http/Controllers/Admin/ResourcesController.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
scan document: file:///home/lizon/example-app/resources/views/admin/news/resources.blade.php
